row,sum,
133,R00133,84779
771,R00771,85237
987,R00987,85252
843,R00843,85269
649,R00649,85359
1014,R01014,85377
207,R00207,85491
242,R00242,85600
824,R00824,85608
10,R00010,85651
98,R00098,86047
953,R00953,86265
1006,R01006,86352
475,R00475,86410
212,R00212,86428
175,R00175,86470
893,R00893,86476
593,R00593,86503
647,R00647,86583
610,R00610,86658
661,R00661,86658
836,R00836,86701
1057,R01057,86907
802,R00802,87003
283,R00283,87213
913,R00913,87247
561,R00561,87368
896,R00896,87524
145,R00145,87681
71,R00071,87855
363,R00363,88008
119,R00119,88064
759,R00759,88152
779,R00779,88295
714,R00714,88515
816,R00816,88715
104,R00104,88759
905,R00905,88910
20,R00020,88970
47,R00047,89149
344,R00344,89232
293,R00293,89242
82,R00082,89316
998,R00998,89549
294,R00294,89553
251,R00251,89697
716,R00716,89960
972,R00972,90086
1002,R01002,90128
405,R00405,90199
142,R00142,90272
307,R00307,90281
144,R00144,90282
794,R00794,90630
484,R00484,90675
940,R00940,91076
783,R00783,91152
381,R00381,91154
228,R00228,91160
131,R00131,91211
6,R00006,91252
980,R00980,91316
255,R00255,91486
372,R00372,91652
988,R00988,91706
985,R00985,91906
239,R00239,91931
969,R00969,91974
233,R00233,92104
428,R00428,92180
575,R00575,92216
999,R00999,92313
54,R00054,92526
715,R00715,92702
571,R00571,92759
295,R00295,92782
348,R00348,93024
168,R00168,93098
161,R00161,93117
672,R00672,93354
197,R00197,93562
702,R00702,94060
640,R00640,94092
535,R00535,94475
527,R00527,94596
160,R00160,94611
134,R00134,94752
218,R00218,94983
892,R00892,95936
700,R00700,95961
449,R00449,96030
353,R00353,96319
194,R00194,96432
309,R00309,96568
453,R00453,96912
599,R00599,96937
450,R00450,96966
1009,R01009,96995
1078,R01078,97634
756,R00756,98796
259,R00259,99065
851,R00851,99252
230,R00230,99317
231,R00231,99608
61,R00061,99795
994,R00994,100213
975,R00975,100441
669,R00669,100584
488,R00488,100998
101,R00101,101088
1004,R01004,101201
736,R00736,101317
53,R00053,101393
1025,R01025,102166
30,R00030,102272
159,R00159,102564
329,R00329,102965
77,R00077,103553
900,R00900,103626
727,R00727,104024
573,R00573,104568
932,R00932,104787
478,R00478,104870
49,R00049,105650
781,R00781,105710
380,R00380,105770
563,R00563,106050
277,R00277,106064
179,R00179,106134
1047,R01047,106450
22,R00022,106643
46,R00046,106744
146,R00146,107265
415,R00415,107344
420,R00420,107463
43,R00043,107680
397,R00397,107881
744,R00744,107883
519,R00519,107914
327,R00327,108086
730,R00730,108551
731,R00731,108960
799,R00799,109327
116,R00116,109828
947,R00947,109910
888,R00888,109934
829,R00829,110088
319,R00319,110156
537,R00537,110445
5,R00005,110493
345,R00345,110983
103,R00103,111142
323,R00323,111302
787,R00787,111415
603,R00603,111532
433,R00433,111751
41,R00041,111805
21,R00021,112079
441,R00441,112094
863,R00863,112542
897,R00897,112560
963,R00963,112611
943,R00943,112719
697,R00697,112858
317,R00317,112934
390,R00390,112934
1021,R01021,113006
615,R00615,113048
371,R00371,113053
402,R00402,113192
808,R00808,113232
128,R00128,113252
391,R00391,113490
815,R00815,113540
115,R00115,113650
152,R00152,113804
1050,R01050,114086
911,R00911,114231
1036,R01036,114267
753,R00753,114285
174,R00174,114307
177,R00177,114310
19,R00019,114389
793,R00793,114572
406,R00406,114720
99,R00099,114952
883,R00883,115014
578,R00578,115394
949,R00949,115483
208,R00208,115639
541,R00541,115697
950,R00950,115855
1076,R01076,116088
763,R00763,116122
491,R00491,116246
873,R00873,116422
847,R00847,116433
250,R00250,116683
123,R00123,116715
341,R00341,116757
355,R00355,116845
626,R00626,116888
68,R00068,116891
870,R00870,116929
607,R00607,117235
149,R00149,117330
466,R00466,117962
55,R00055,118309
336,R00336,118371
471,R00471,118372
916,R00916,118804
933,R00933,118893
330,R00330,119154
265,R00265,119357
544,R00544,119493
1042,R01042,119516
227,R00227,119967
496,R00496,119990
554,R00554,120740
